word,n_ratings,n,prop_known,rating,rating_sd
aardvark,14,16,0.875,3.571428571,1.827747067
aback,10,11,0.909090909,3.7,1.418136492
abandon,10,10,1,3.8,1.932183566
abandoned,10,10,1,4.2,1.549193338
abase,10,11,0.909090909,2.5,2.068278941
abash,11,12,0.916666667,3.545454545,2.583162262
abate,10,10,1,2.8,1.686548085
abbey,10,11,0.909090909,2.4,1.646545205
abdomen,11,11,1,3.272727273,1.678744119
abdominal,10,10,1,3.6,2.011080417
abduct,10,10,1,4.1,2.131770261
abduction,10,10,1,4.1,1.728840331
abide,10,10,1,3.2,1.475729575
abiding,10,10,1,3.4,1.577621275
ability,12,12,1,3.083333333,1.378954369
abject,10,11,0.909090909,3.3,2.002775851
able,16,16,1,2.9375,1.87860764
ably,11,11,1,3.090909091,1.921173884
abnormal,11,11,1,3.090909091,2.30019762
abnormality,9,9,1,3,1.58113883
aboard,11,11,1,4,2.28035085
abode,10,10,1,3.4,2.011080417
abolish,12,12,1,3,0.953462589
abolition,10,10,1,3.4,2.011080417
abominable,11,12,0.916666667,4,2
abominate,11,11,1,2.727272727,1.954016842
abomination,10,10,1,4.8,1.932183566
abort,10,10,1,3.8,1.932183566
abortion,13,13,1,4.461538462,1.853617392
abound,10,11,0.909090909,4,1.699673171
about,10,10,1,2,1.154700538
above,10,10,1,3.8,1.988857852
abrasion,10,10,1,4.7,1.251665557
abrasive,10,10,1,4,2.054804668
abridge,10,12,0.833333333,3.9,2.378141198
abroad,12,12,1,3.416666667,1.880924982
abrupt,10,10,1,4.9,1.791957341
abscess,17,20,0.85,3.647058824,2.148871113
absence,10,11,0.909090909,3.2,1.398411798
absent,13,13,1,2.230769231,1.23516842
absently,10,10,1,2.7,1.494434118
absinthe,10,12,0.833333333,2.5,1.433720878
absolute,10,10,1,3.1,2.024845673
absolutely,10,10,1,4.8,1.475729575
absolution,10,10,1,3.2,1.751190072
absolutism,10,12,0.833333333,3,1.885618083
absolve,13,13,1,2.846153846,1.463224399
absorb,10,10,1,4.7,1.888562063
absorbent,11,11,1,4.454545455,1.967924611
abstinence,10,10,1,3.9,2.469817807
abstract,10,10,1,3.2,1.398411798
abstracted,10,10,1,2.8,1.87379591
abstraction,10,10,1,2.7,2.057506582
abstractionism,10,11,0.909090909,3.6,2.319003617
abstractive,16,16,1,3.4375,2.032035105
absurd,13,13,1,4,2
absurdity,9,9,1,3.444444444,2.505549396
abundance,10,10,1,4.4,1.712697677
abundant,10,10,1,3.2,1.549193338
abuse,10,10,1,2.7,1.766981104
abusive,10,10,1,4.5,2.321398046
abut,10,11,0.909090909,2.6,1.429840706
abysmal,10,11,0.909090909,3.3,1.82878223
abyss,10,10,1,4.9,1.728840331
academic,10,10,1,2.7,1.766981104
academy,11,11,1,2.545454545,1.572490786
accelerate,10,10,1,4.4,1.577621275
accent,11,11,1,3.363636364,1.629277587
accept,10,10,1,3.6,2.547329757
acceptable,10,10,1,3,2.108185107
acceptance,10,10,1,2.7,1.418136492
access,10,10,1,3.2,1.475729575
accessible,10,10,1,4.3,1.766981104
accessory,10,10,1,3.9,2.330951165
accident,10,10,1,3.7,1.766981104
accidental,10,10,1,3,1.943650632
